Title,Monthly sales,Sales,Monthly revenue,Revenue,LQS,Price,Category,Shop,BSR Category (%),BSR Category,Conversion rate,Creator,Product creation era,Views,Video,URL,Tag count,Tags,Review rate,Reviews,Review score,Production partners,Processing time,Min processing time,Max processing time,Personalization required,Creation date,Favorites,Listing type,Listing age (days),Vintage,Supply item,Personalizable,Image count,Free US shipping
"Borealis & Tanzanite Couples Ring Set- His and Hers Wedding Bands- Northern Lights Tree Matching Rings Outer Space Starry Night Couples Ring","1","13","$254","$3315","47","$255.00","Jewelry","Aquamarise","0.0","NaN","0.85%","Shop owner","Made to Order","1535","Yes","https://www.etsy.com/listing/1753889430/borealis-tanzanite-couples-ring-set-his","13","Matching ring set,his and hers ring,engagement ring set,wedding ring set,couples promise ring,couples wedding band,Outer space ring,purple couples ring,matching rings,Starry night ring,aurora borealis ring,tanzanite jewelry,trees wedding band","0.00%","0","0.00","None","4.00 days","3 days","5 days","No","25 Tem, 2024","124","Physical","410","No","No","Yes","8","Yes",
"Blue Fire Opal & Sapphire Engagement Ring For Women- 925 Sterling Silver Marquise Leaf Sapphire Promise Ring- Unique September Birthstone","0","6","$35","$534","58","$89.00","Jewelry","Aquamarise","0.0","NaN","0.46%","Shop owner","Made to Order","1299","Yes","https://www.etsy.com/listing/1735137603/blue-fire-opal-sapphire-engagement-ring","13","Blue sapphire ring,Leaf engagement ring,Dainty promise ring,sapphire leaf ring,Womens Promise Ring,Gifts For Her,September birthstone,handmade jewelry,Fairy Core Jewelry,matching rings,Blue fire opal ring,hexagon cut rings,Unique rings women","33.33%","2","5.00","None","4.00 days","3 days","5 days","No","21 May, 2024","116","Physical","474","No","No","Yes","7","Yes",
"Victoria Black Onyx Engagement Ring in Sterling Silver- Black Diamond Art Deco Vintage Promise Ring- Anniversary or Birthday Gift For Her","2","114","$190","$10146","63","$89.00","Jewelry","Aquamarise","0.0","NaN","0.62%","Shop owner","Made to Order","18365","Yes","https://www.etsy.com/listing/993306761/victoria-black-onyx-engagement-ring-in","13","Black diamond ring,engagement ring,birthday gift,Gatsby ring,black onyx rings,dainty promise ring,black ring of her,GIFTS FOR HER,PROMISE RING FOR HER,black rings women,sterling silver ring,vintage ring for her,gothic ring women","30.70%","35","4.90","None","4.00 days","3 days","5 days","No","02 Nis, 2021","1417","Physical","1620","No","No","Yes","4","Yes",
"Cornflower Sapphire & Galaxy Orion Nebula Couples Ring- His and Hers Ring Set- Purple Galaxy Matching Wedding Band- Outer Space Couples Ring","2","19","$381","$4655","68","$245.00","Jewelry","Aquamarise","0.0","NaN","0.36%","Shop owner","Made to Order","5338","Yes","https://www.etsy.com/listing/1766689926/cornflower-sapphire-galaxy-orion-nebula","13","Matching ring set,his and hers ring,engagement ring set,wedding ring set,couples promise ring,couples wedding band,Outer space ring,black and purple,cornflower sapphire,purple couples ring,matching rings,black wedding band,Starry night ring","31.58%","6","5.00","None","4.00 days","3 days","5 days","No","19 A%u011Fu, 2024","429","Physical","384","No","No","Yes","8","Yes",
"Vintage Blue Sapphire Ring Set- 14K Rose Gold Vermeil Teardrop Engagement Ring Set For Women Promise Ring- Anniversary Birthday Gift For Her","0","16","$33","$1424","58","$89.00","Jewelry","Aquamarise","0.0","NaN","0.37%","Shop owner","Made to Order","4344","Yes","https://www.etsy.com/listing/1180546701/vintage-blue-sapphire-ring-set-14k-rose","13","14K Rose Gold Ring,Anniversary Gift,Birthday Gift,Gift For Her,September birthstone,blue sapphire ring,her engagement ring,Promise ring for her,PERSONALIZED JEWELRY,GIFTS FOR HER,GIFTS FOR MOM,PERSONALIZED RING,handmade jewelry","31.25%","5","5.00","None","4.00 days","3 days","5 days","No","16 %u015Eub, 2022","403","Physical","1299","No","No","Yes","4","Yes",
"Light Green Sapphire Ring in 925 Sterling Silver- Non Traditional Engagement Ring- Twisted Vine Round Cut Promise Ring- September Birthstone","4","227","$382","$21565","63","$95.00","Jewelry","Aquamarise","0.0","NaN","0.84%","Shop owner","Made to Order","27098","Yes","https://www.etsy.com/listing/919359978/light-green-sapphire-ring-in-925","13","Teal sapphire ring,green sapphire ring,twisted vine ring,September birthstone,birthday gift,Promise ring for her,GIFTS FOR HER,lab sapphire ring,nature inspired ring,non traditional ring,teal engagement ring,vine engagement ring,fairy core aesthetic","30.84%","70","4.90","None","4.00 days","3 days","5 days","No","30 Ara, 2020","1695","Physical","1713","No","No","Yes","5","Yes",
"Blue Sapphire Ring For Women- Sterling Silver Vintage Genuine Sapphire Engagement Ring- Promise Ring- September Birthstone- Anniversary Gift","2","65","$194","$5785","63","$89.00","Jewelry","Aquamarise","0.0","NaN","0.72%","Shop owner","Made to Order","9022","Yes","https://www.etsy.com/listing/1434237285/blue-sapphire-ring-for-women-sterling","13","Natural Sapphire,Engagement Ring,September Birthstone,vintage art deco,Blue Sapphire ring,dainty promise ring,STATEMENT RING,TRENDY JEWELRY,PERSONALIZED JEWELRY,Unique gemstone ring,GIFTS FOR HER,GIFTS FOR MOM,PROMISE RING FOR HER","30.77%","20","5.00","None","4.00 days","3 days","5 days","No","09 Mar, 2023","568","Physical","914","No","No","Yes","4","Yes",
"Vintage Natural Orange Sapphire Ring- 14K rose Gold Vermeil Ring- Sapphire Engagement Ring- Promise Ring- September Birthstone- Gift For Her","1","39","$63","$3471","58","$89.00","Jewelry","Aquamarise","0.0","NaN","0.71%","Shop owner","Made to Order","5524","Yes","https://www.etsy.com/listing/961927039/vintage-natural-orange-sapphire-ring-14k","13","orange sapphire,orange gemstone,oval sapphire ring,September birthstone,unique ring for her,dainty promise ring,her engagement ring,GIFTS FOR HER,GIFTS FOR MOM,PERSONALIZED RING,PERSONALIZED GIFTS,PROMISE RING FOR HER,Mother's Day Gift","30.77%","12","4.80","None","4.00 days","3 days","5 days","No","13 %u015Eub, 2021","416","Physical","1668","No","No","Yes","4","Yes",
"Orion Nebula & Crushed Diamond Men's Wedding Band- Galaxy Crushed Fire Opal Tungsten- Outer Space Ring-Unisex 8MM Wedding Band- Promise Ring","0","3","$33","$465","58","$155.00","Jewelry","Aquamarise","0.0","NaN","0.22%","Shop owner","Made to Order","1348","Yes","https://www.etsy.com/listing/1737931114/orion-nebula-crushed-diamond-mens","13","mens wedding band,8mm black ring,crushed opal ring,unique mens ring,his promise ring,Woman Opal Ring,Man Opal Ring,gifts for him,Orion Nebula ring,purple fire opal,opal matching rings,outer space ring,acotar inspired ring","33.33%","1","5.00","None","4.00 days","3 days","5 days","No","24 Haz, 2024","85","Physical","441","No","No","Yes","7","Yes",
"Oval Morganite Ring- Vintage Unique Engagement Ring For Women- Marquise Diamond Wedding Ring- Anniversary Gifts For Her 925 Sterling Silver","0","13","$37","$1157","63","$89.00","Jewelry","Aquamarise","0.0","NaN","0.27%","Shop owner","Made to Order","4811","Yes","https://www.etsy.com/listing/1401772705/oval-morganite-ring-vintage-unique","13","morganite ring set,rings for women,pink gemstone ring,engagement ring,dainty promise ring,PERSONALIZED JEWELRY,STATEMENT RING,GIFTS FOR WOMEN,GEMSTONE JEWELRY,GIFTS FOR HER,GIFTS FOR MOM,PROMISE RING FOR HER,handmade jewelry","30.77%","4","5.00","None","4.00 days","3 days","5 days","No","25 Oca, 2023","298","Physical","957","No","No","Yes","9","Yes",
